id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode
1,2014-10-13,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178
2,2014-12-09,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125
3,2015-02-25,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028
4,2014-12-09,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136
5,2015-02-18,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074
6,2014-05-12,1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,0,98053
7,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003
8,2015-01-15,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198
9,2015-04-15,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146
10,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038
11,2015-04-03,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,98007
12,2014-05-27,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115
13,2014-05-28,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028
14,2014-10-07,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074
15,2015-03-12,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107
16,2015-01-24,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0,98126
17,2014-07-31,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,98019
18,2014-05-29,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103
19,2014-12-05,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002
20,2015-04-24,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,98003
21,2014-05-14,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0,98133
22,2014-08-26,2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,1968,0,98040
23,2014-07-03,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0,98092
24,2014-05-16,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,0,98030
25,2014-11-20,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0,98030
26,2014-11-03,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002
27,2014-06-26,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,0,98119
28,2014-12-01,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112
29,2014-06-24,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,0,98115
30,2015-03-02,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,0,98052
31,2014-11-10,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,98027
32,2014-12-01,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0,98133
33,2014-06-24,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117
34,2014-11-10,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117
35,2014-12-03,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,0,98058
36,2014-06-13,696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115
37,2014-05-28,550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730,1933,0,98052
38,2014-12-30,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,0,98107
39,2015-02-13,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,0,98001
40,2014-06-20,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,1996,0,98056
41,2014-07-15,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2000,0,98074
42,2014-08-11,775000.0,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,1984,0,98166
43,2014-07-07,861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,2014,0,98053
44,2014-10-28,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,0,98119
45,2014-07-29,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0,98058
46,2014-07-18,488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,2003,0,98019
47,2015-03-25,210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,0,98023
48,2014-07-16,785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,0,98007
49,2015-04-28,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,0,98115
50,2015-03-11,1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,1953,0,98070
51,2014-09-16,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,0,98148
52,2015-02-17,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,98056
53,2014-12-31,600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,0,98117
54,2015-02-05,585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,990,1981,0,98117
55,2015-03-03,920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105
56,2014-05-12,885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1995,0,98105
57,2014-08-19,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2008,0,98042
58,2015-04-07,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,0,98042
59,2014-08-27,951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,1968,0,98008
60,2015-02-23,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,1991,0,98059
61,2014-12-10,650000.0,3,2.25,2150,21235,1.0,0,3,4,8,1590,560,1959,0,98166
62,2014-08-28,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1954,0,98148
63,2014-10-21,505000.0,3,1.75,2519,8690,2.0,0,0,5,8,2519,0,1973,0,98166
64,2014-12-07,549000.0,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,2014,0,98115
65,2014-06-03,425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1979,0,98122
66,2014-11-20,317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144
67,2014-09-09,975000.0,4,2.5,2720,11049,2.0,0,0,3,10,2720,0,1989,0,98004
68,2014-10-09,287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2005,0,98001
69,2014-08-25,204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1968,0,98042
70,2014-06-12,1325000.0,5,2.25,3200,20158,1.0,0,0,3,8,1600,1600,1965,0,98004
71,2014-09-12,1040000.0,5,3.25,4770,50094,1.0,0,0,4,11,3070,1700,1973,0,98005
72,2015-01-05,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1972,0,98034
73,2014-06-10,571000.0,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98125
74,2014-07-10,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2005,0,98038
75,2015-03-16,349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,1965,0,98042
76,2014-11-05,832500.0,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,1986,0,98075
77,2014-10-13,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,0,98008
78,2015-04-20,480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,1941,0,98116
79,2014-06-09,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,0,98133
80,2015-03-23,720000.0,4,2.5,3450,39683,2.0,0,0,3,10,3450,0,2002,0,98010
81,2014-12-02,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,0,98038
82,2014-12-22,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,0,98038
83,2014-10-28,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,0,98118
84,2015-01-28,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1964,0,98059
85,2014-06-02,315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,0,98125
86,2014-11-14,940000.0,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,1925,0,98119
87,2014-11-03,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092
88,2014-06-18,461000.0,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,2006,0,98056
89,2014-05-19,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,0,98056
90,2014-09-04,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265,2006,0,98136
91,2014-05-22,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,0,98023
92,2015-03-11,1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,0,98199
93,2015-02-26,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,0,98023
94,2014-07-25,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117
95,2014-12-23,700000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117
96,2014-09-08,905000.0,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1946,1991,98040
97,2015-03-30,247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1967,0,98032
98,2014-09-12,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,0,98023
99,2014-07-11,314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,1980,0,98038
100,2014-05-16,437500.0,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,1992,0,98045
